date,PERMNO,TICKER,PRC,C_strike_price,P_strike_price,option_days,rate,daily_rate,PV_strike_price,PutCallParity,PutCallRatio
2017-05-10,84398,SPY,239.87,239.267687,239.267687,60,0.960136,0.002630509589041096,204.33327854029386,35.53672145970614,1.7443392100381558
2017-05-11,84398,SPY,239.38,238.778141,238.778141,60,0.958271,0.0026254,203.97773392847589,35.40226607152411,1.5515727134582724
2017-05-12,84398,SPY,238.98,238.37549,238.37549,60,0.959514,0.0026288054794520546,203.59216278459192,35.38783721540807,1.9989496755560645
2017-05-15,84398,SPY,240.3,239.703755,239.703755,60,0.960758,0.002632213698630137,204.68474881080536,35.61525118919465,1.68818803067965
2017-05-16,84398,SPY,240.08,239.485145,239.485145,60,0.959514,0.0026288054794520546,204.53989890207083,35.54010109792918,1.582159022010406
2017-05-17,84398,SPY,235.82001,235.214963,235.214963,60,0.959514,0.0026288054794520546,200.89281425899853,34.92719574100147,1.981216383484634
2017-05-18,84398,SPY,236.77,236.172884,236.172884,60,0.960136,0.002630509589041096,201.69033393145358,35.07966606854643,1.641006435822392
2017-05-19,84398,SPY,238.31,237.721239,237.721239,60,0.960136,0.002630509589041096,203.01262051958886,35.29737948041114,2.0130747933620174
2017-05-22,84398,SPY,239.52,238.940609,238.940609,60,0.96138,0.002633917808219178,204.01223237104418,35.50776762895583,1.442800578716534
2017-05-23,84398,SPY,240.05,239.471887,239.471887,60,0.962623,0.0026373232876712328,204.42407408091543,35.62592591908458,1.941775652373026
2017-05-24,84398,SPY,240.61,240.034368,240.034368,60,0.962623,0.0026373232876712328,204.90423339754165,35.70576660245837,1.899185560578739
2017-05-25,84398,SPY,241.75999,241.189601,241.189601,60,0.962623,0.0026373232876712328,205.89039273061073,35.86959726938926,1.701635877015471
2017-05-26,84398,SPY,241.71001,241.139776,241.139776,60,0.962001,0.002635619178082192,205.86890816345027,35.84110183654974,1.500596464591693
2017-05-30,84398,SPY,241.5,240.932445,240.932445,60,0.963866,0.002640728767123288,205.6288525121263,35.87114748787371,1.8704911671425073
2017-05-31,84398,SPY,241.44,240.873881,240.873881,60,0.964488,0.0026424328767123287,205.55785117618802,35.882148823811974,1.8546511788473063
2017-06-01,84398,SPY,243.36,242.804547,242.804547,60,0.964488,0.0026424328767123287,207.20545012984513,36.15454987015488,1.4213569783885178
2017-06-02,84398,SPY,244.17,243.617879,243.617879,60,0.964488,0.0026424328767123287,207.89953442623602,36.27046557376397,1.2418130698225842
2017-06-05,84398,SPY,243.99001,243.439303,243.439303,60,0.963866,0.002640728767123288,207.76838309278693,36.22162690721308,2.0312877658165975
2017-06-06,84398,SPY,243.21001,242.656909,242.656909,60,0.966353,0.0026475424657534247,207.01598253733297,36.19402746266704,0.9510220195739144
2017-06-07,84398,SPY,243.66,243.11084,243.11084,60,0.988113,0.002707158904109589,206.66268783714384,36.99731216285616,1.8531510262696926
2017-06-08,84398,SPY,243.78,243.239714,243.239714,60,1.049663,0.0028757890410958903,204.69070669274228,39.08929330725772,1.4192223788698777
2017-06-09,84398,SPY,243.41,242.876939,242.876939,60,1.090696,0.0029882082191780824,203.01145338088006,40.39854661911994,1.5809376868959695
2017-06-12,84398,SPY,243.36,242.835292,242.835292,60,1.127378,0.0030887068493150685,201.75639249241615,41.60360750758386,1.6485296555468971
2017-06-13,84398,SPY,244.55,244.028994,244.028994,60,1.167168,0.0031977205479452055,201.4263514781827,43.1236485218173,1.6024807029126487
2017-06-14,84398,SPY,244.24001,243.701447,243.701447,60,1.177738,0.0032266794520547943,200.806775769139,43.43323423086102,1.1182298968571962
2017-06-15,84398,SPY,243.77,243.091514,243.091514,60,1.204472,0.003299923287671233,199.42586754248347,44.34413245751654,0.7177386247087685
2017-06-16,84398,SPY,242.64,243.145091,243.145091,60,1.206337,0.003305032876712329,199.40867754478757,43.23132245521242,1.6606362155604242
2017-06-19,84398,SPY,244.66,245.173829,245.173829,60,1.209446,0.003313550684931507,200.96975497803228,43.69024502196771,1.6822020098930432
2017-06-20,84398,SPY,243.00999,243.521546,243.521546,60,1.210068,0.0033152547945205476,199.59496448667667,43.415025513323314,1.470934748497344
2017-06-21,84398,SPY,242.95,243.461261,243.461261,60,1.208824,0.0033118465753424653,199.58636360735062,43.36363639264937,1.562748535348936
2017-06-22,84398,SPY,242.84,243.353177,243.353177,60,1.211311,0.0033186602739726026,199.41621536845602,43.42378463154398,1.5937382506077695
2017-06-23,84398,SPY,243.13,243.643597,243.643597,60,1.202607,0.003294813698630137,199.94006917686835,43.18993082313165,1.7309384475045713
2017-06-26,84398,SPY,243.28999,243.806008,243.806008,60,1.203851,0.0032982219178082192,200.03243828574693,43.257551714253054,1.3740672959188873
2017-06-27,84398,SPY,241.33,241.842791,241.842791,60,1.205094,0.0033016273972602743,198.38116329166994,42.94883670833008,1.2542605026403186
2017-06-28,84398,SPY,243.49001,244.006842,244.006842,60,1.205094,0.0033016273972602743,200.15631215191652,43.33369784808349,1.5060639039680936
2017-06-29,84398,SPY,241.35001,241.862472,241.862472,60,1.206959,0.0033067369863013694,198.33649301440775,43.01351698559225,1.620477734108357
2017-06-30,84398,SPY,241.8,242.314156,242.314156,60,1.206337,0.003305032876712329,198.72720933667276,43.072790663327254,1.9490818738540137
2017-07-03,84398,SPY,242.21001,242.727612,242.727612,60,1.204472,0.003299923287671233,199.1273319381084,43.08267806189161,1.8152376216523407
2017-07-05,84398,SPY,242.77,243.290372,243.290372,60,1.207581,0.003308441095890411,199.48702781036468,43.28297218963533,1.7478758562237051
2017-07-06,84398,SPY,240.55,241.066458,241.066458,60,1.207581,0.003308441095890411,197.66351958717098,42.88648041282903,1.7802301693752527
2017-07-07,84398,SPY,242.11,242.630029,242.630029,60,1.206337,0.003305032876712329,198.98626378413476,43.12373621586525,1.7528422878866254
2017-07-10,84398,SPY,242.37,242.891823,242.891823,60,1.205094,0.0033016273972602743,199.24167349182795,43.12832650817205,1.3677436831064438
2017-07-11,84398,SPY,242.19,242.710415,242.710415,60,1.205094,0.0033016273972602743,199.09286636831766,43.09713363168234,1.0888360662342371
2017-07-12,84398,SPY,244.00999,244.52245,244.52245,60,1.205094,0.0033016273972602743,200.57926011087588,43.43072988912411,1.7953398587154117
2017-07-13,84398,SPY,244.42,244.933989,244.933989,60,1.205094,0.0033016273972602743,200.91684133553142,43.50315866446857,2.3425734082929774
2017-07-14,84398,SPY,245.56,246.076974,246.076974,60,1.205094,0.0033016273972602743,201.85442021885208,43.70557978114792,1.2699764143980423
2017-07-17,84398,SPY,245.53,244.862853,244.862853,60,1.207581,0.003308441095890411,200.7763906338893,44.75360936611071,1.521454150333861
2017-07-18,84398,SPY,245.66,244.993961,244.993961,60,1.205716,0.003303331506849315,200.9454887141319,44.7145112858681,1.9250991815358804
2017-07-19,84398,SPY,246.99001,246.328589,246.328589,60,1.206337,0.003305032876712329,202.01953480509914,44.97047519490087,1.358337214814204
2017-07-20,84398,SPY,247.10001,246.441406,246.441406,60,1.206959,0.0033067369863013694,202.09139431759314,45.008615682406855,1.3943879721508392
2017-07-21,84398,SPY,246.88,246.223124,246.223124,60,1.208824,0.0033118465753424653,201.8505028411965,45.02949715880351,1.5063873431283397
2017-07-24,84398,SPY,246.82001,246.165023,246.165023,60,1.21069,0.0033169589041095893,201.7409809348303,45.07902906516969,1.2984824476471277
2017-07-25,84398,SPY,247.42,246.768099,246.768099,60,1.210068,0.0033152547945205476,202.2559020561972,45.1640979438028,1.8207237068523785
2017-07-26,84398,SPY,247.42999,246.774697,246.774697,60,1.210068,0.0033152547945205476,202.2613099044854,45.16868009551462,1.3850085950027895
2017-07-27,84398,SPY,247.2,246.544796,246.544796,60,1.21069,0.0033169589041095893,202.05221839910874,45.14778160089125,1.7820181923797955
2017-07-28,84398,SPY,246.91,246.253323,246.253323,60,1.213177,0.0033237726027397258,201.73085706519117,45.17914293480882,1.8303493036416978
2017-07-31,84398,SPY,246.77,246.115398,246.115398,60,1.213177,0.0033237726027397258,201.6178688296549,45.152131170345115,1.9815425223717247
2017-08-01,84398,SPY,247.32001,246.667198,246.667198,60,1.212555,0.003322068493150685,202.09056570377905,45.22944429622095,1.718903420694834
2017-08-02,84398,SPY,247.44,246.787581,246.787581,60,1.21442,0.003327178082191781,202.12721688663763,45.31278311336237,1.7869335527539825
2017-08-03,84398,SPY,246.96001,246.306196,246.306196,60,1.212555,0.003322068493150685,201.7948024284359,45.16520757156411,2.0834323900089915
2017-08-04,84398,SPY,247.41,246.758063,246.758063,60,1.215663,0.0033305835616438354,202.06174941878137,45.34825058121862,1.9223959529558488
2017-08-07,84398,SPY,247.87,247.22122,247.22122,60,1.213798,0.0033254739726027395,202.50308580367502,45.366914196324984,1.9844599434648766
2017-08-08,84398,SPY,247.25999,246.611781,246.611781,60,1.212555,0.003322068493150685,202.04516342503908,45.21482657496091,1.986934761947165
2017-08-09,84398,SPY,247.25,246.585209,246.585209,60,1.213177,0.0033237726027397258,202.00273825815253,45.24726174184747,1.8119324570986233
2017-08-10,84398,SPY,243.75999,243.087873,243.087873,60,1.213177,0.0033237726027397258,199.13771869159444,44.622271308405544,1.6432782852727694
2017-08-11,84398,SPY,244.12,243.448438,243.448438,60,1.215663,0.0033305835616438354,199.35161055122134,44.76838944877866,2.2159581609875247
2017-08-14,84398,SPY,246.53999,245.876169,245.876169,60,1.213798,0.0033254739726027395,201.40133176304974,45.13865823695025,2.0218261435175506
2017-08-15,84398,SPY,246.50999,245.847551,245.847551,60,1.213798,0.0033254739726027395,201.37789027485738,45.13209972514261,1.7139604262938382
2017-08-16,84398,SPY,246.94,246.278739,246.278739,60,1.213798,0.0033254739726027395,201.73108366400703,45.20891633599297,2.049288937924324
2017-08-17,84398,SPY,243.09,242.42088,242.42088,60,1.21442,0.003327178082191781,198.55074388694445,44.53925611305556,2.103290217622692
2017-08-18,84398,SPY,242.71001,242.041225,242.041225,60,1.215663,0.0033305835616438354,198.1992918908789,44.510718109121115,1.906723874054389
2017-08-21,84398,SPY,242.89999,242.232239,242.232239,60,1.21442,0.003327178082191781,198.39624064911453,44.50374935088547,1.710922299842291
2017-08-22,84398,SPY,245.44,244.779717,244.779717,60,1.213798,0.0033254739726027395,200.5032093711466,44.9367906288534,1.5744891480224754
2017-08-23,84398,SPY,244.56,243.896862,243.896862,60,1.21069,0.0033169589041095893,199.88214242283698,44.677857577163024,1.878661426833328
2017-08-24,84398,SPY,243.99001,243.327176,243.327176,60,1.213177,0.0033237726027397258,199.33375584025163,44.656254159748386,1.6034858792480284
2017-08-25,84398,SPY,244.56,243.89916,243.89916,60,1.213177,0.0033237726027397258,199.80232544630553,44.75767455369447,1.6901557589834677
2017-08-28,84398,SPY,244.57001,243.911492,243.911492,60,1.213177,0.0033237726027397258,199.80232544630553,44.75767455369447,1.4666713935000133
2017-08-29,84398,SPY,244.85001,244.192545,244.192545,60,1.21815,0.0033373972602739727,199.8792026528142,44.9708073471858,2.141077727878839
2017-08-30,84398,SPY,246.00999,245.354235,245.354235,60,1.21815,0.0033373972602739727,200.83008209481252,45.17990790518746,1.839052195409941
2017-08-31,84398,SPY,247.49001,246.837276,246.837276,60,1.21815,0.0033373972602739727,202.0439973377264,45.4460126622736,1.3873523819990947
2017-09-01,84398,SPY,247.84,247.188252,247.188252,60,1.216907,0.0033339917808219177,202.37262844911953,45.46737155088047,1.8158076127747569
2017-09-05,84398,SPY,246.06,245.405833,245.405833,60,1.213177,0.0033237726027397258,201.0365927930531,45.0234072069469,1.883785640868385
2017-09-06,84398,SPY,246.89999,246.248899,246.248899,60,1.211311,0.0033186602739726026,201.78912016928044,45.110869830719565,1.6904663738758925
2017-09-07,84398,SPY,246.87,246.217636,246.217636,60,1.211311,0.0033186602739726026,201.76350164554503,45.10649835445497,1.6483059406588467
2017-09-08,84398,SPY,246.58,245.924106,245.924106,60,1.211311,0.0033186602739726026,201.52296793886117,45.05703206113884,1.8656505510592902
2017-09-11,84398,SPY,249.21001,248.567023,248.567023,60,1.213177,0.0033237726027397258,203.6262413723168,45.58376862768321,1.186183732324826
2017-09-12,84398,SPY,250.05,249.41341,249.41341,60,1.213177,0.0033237726027397258,204.31960206625078,45.73039793374923,1.0933335105247812
2017-09-13,84398,SPY,250.17,249.52078,249.52078,60,1.211933,0.0033203643835616435,204.44936384913828,45.72063615086171,1.343878857870463
2017-09-14,84398,SPY,250.09,249.390691,249.390691,60,1.213177,0.0033237726027397258,204.30099064900847,45.789009350991535,0.5590720257868238
2017-09-15,84398,SPY,249.19,249.727488,249.727488,60,1.212555,0.003322068493150685,204.5978132921577,44.5921867078423,2.096124290609433
